Channel,ML,AP
REF2,4.5,3
AD0,3.5,2.425
AD1,4.5,1.85
AD2,3.5,1.275
AD3,4.5,0.7
AD4,3.5,0.125
AD5,4.5,-0.45
AD6,3.5,-1.025
AD7,4.5,-1.6
REF1,3.5,-2.175
GND1,-3.5,3
AD8,-4.5,2.425
AD9,-3.5,1.85
AD10,-4.5,1.275
AD11,-3.5,0.7
AD12,-4.5,0.125
AD13,-3.5,-0.45
AD14,-4.5,-1.025
AD15,-3.5,-1.6
GND2,-4.5,-2.175
